Player,Team_start,Team_end,Shoots,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI_min,FOW%
Mikael Backlund,CGY,CGY,L,C,82,15,24,39,-4,24,0.48,12,34,2,3,1,2,0,2,209,7.2,19.23,50.3
Scott Laughton,PHI,PHI,L,C,82,13,26,39,-9,69,0.48,10,26,1,5,2,8,0,2,167,7.8,15.65,48.9
Evan Rodrigues,FLA,FLA,R,C,80,12,27,39,26,34,0.49,9,29,3,10,0,0,0,1,186,6.5,15.17,50.0
Gustav Forsling,FLA,FLA,L,D,79,10,29,39,56,43,0.49,9,37,1,2,0,0,1,1,160,6.3,22.15,0.0
Rasmus Andersson,CGY,CGY,R,D,78,9,30,39,-11,47,0.5,8,30,0,8,1,1,1,3,159,5.7,23.83,0.0
Cam Fowler,ANA,ANA,L,D,81,5,34,39,-36,24,0.48,3,20,2,18,0,1,0,0,109,4.6,24.42,0.0
Torey Krug,STL,STL,L,D,77,4,35,39,-31,32,0.51,4,26,0,13,0,0,0,2,162,2.5,21.97,0.0
Jake Neighbours,STL,STL,L,L,77,27,11,38,-16,21,0.49,19,24,8,14,0,0,0,4,145,18.6,15.7,37.9
Cole Perfetti,WPG,WPG,L,C,71,19,19,38,13,12,0.54,14,27,5,11,0,0,0,3,142,13.4,13.58,37.6
Tomas Hertl,SJS,VGK,L,C,54,17,21,38,-28,22,0.7,10,26,6,11,1,1,2,2,124,13.7,20.48,57.5
James van Riemsdyk,BOS,BOS,L,L,71,11,27,38,7,20,0.54,5,26,6,12,0,0,0,3,142,7.8,13.5,47.6
Sean Couturier,PHI,PHI,L,C,74,11,27,38,-10,29,0.51,8,29,3,7,0,2,2,3,192,5.7,17.82,53.5
Jake Sanderson,OTT,OTT,L,D,79,10,28,38,8,23,0.48,7,24,3,14,0,0,1,3,158,6.3,23.22,100.0
Anders Lee,NYI,NYI,L,L,81,20,17,37,2,68,0.46,15,32,5,5,0,0,0,2,185,10.8,15.57,43.2
Nick Foligno,CHI,CHI,L,L,74,17,20,37,-29,57,0.5,8,20,8,16,1,1,0,0,146,11.6,17.77,52.4
Rickard Rakell,PIT,PIT,R,R,70,15,22,37,4,22,0.53,11,31,4,6,0,0,0,2,165,9.1,16.52,23.1
Matty Beniers,SEA,SEA,L,C,77,15,22,37,-11,20,0.48,9,24,6,13,0,0,0,1,133,11.3,17.97,47.4
Stefan Noesen,CAR,CAR,R,R,81,14,23,37,13,33,0.46,11,26,3,11,0,0,0,3,111,12.6,11.87,42.2
Vladislav Namestnikov,WPG,WPG,L,C,78,11,26,37,17,37,0.47,7,31,3,5,1,1,0,0,95,11.6,14.47,36.3
Jaccob Slavin,CAR,CAR,L,D,81,6,31,37,21,8,0.46,4,34,0,0,2,3,0,1,151,4.0,20.93,0.0
Nils Hoglander,VAN,VAN,L,L,80,24,12,36,23,51,0.45,24,36,0,0,0,0,0,5,120,20.0,12.1,0.0
Gabriel Vilardi,WPG,WPG,R,C,47,22,14,36,11,14,0.77,13,22,9,14,0,0,0,5,117,18.8,17.0,45.8
Alex Killorn,ANA,ANA,L,L,63,18,18,36,-15,54,0.57,13,29,5,7,0,0,1,5,145,12.4,18.73,35.9
Danton Heinen,BOS,BOS,L,L,74,17,19,36,16,28,0.49,15,34,1,1,1,1,0,4,119,14.3,14.47,38.7
Mason Appleton,WPG,WPG,R,C,82,14,22,36,16,26,0.44,11,32,2,2,1,2,0,2,122,11.5,16.05,52.9
Boone Jenner,CBJ,CBJ,L,C,58,22,13,35,-8,28,0.6,16,26,5,8,1,1,0,1,155,14.2,20.1,54.3
Jason Dickinson,CHI,CHI,L,C,82,22,13,35,4,43,0.43,20,33,2,2,0,0,0,4,126,17.5,16.57,50.0
Tom Wilson,WSH,WSH,R,R,74,18,17,35,-19,133,0.47,11,23,5,10,2,2,0,3,169,10.7,18.1,36.7
Dylan Guenther,ARI,ARI,R,R,45,18,17,35,-1,14,0.78,8,20,9,13,1,2,1,4,121,14.9,16.28,20.7
Erik Haula,NJD,NJD,L,L,76,16,19,35,-1,54,0.46,14,30,1,3,1,2,0,2,155,10.3,16.88,54.8
Colton Sissons,NSH,NSH,R,C,81,15,20,35,-6,38,0.43,9,24,3,7,3,4,0,2,131,11.5,16.57,52.6
Matthew Knies,TOR,TOR,L,L,80,15,20,35,9,45,0.44,15,33,0,2,0,0,0,3,115,13.0,13.68,0.0
Anton Lundell,FLA,FLA,L,C,78,13,22,35,19,46,0.45,12,29,1,5,0,1,1,2,166,7.8,15.38,54.9
Adam Lowry,WPG,WPG,L,C,81,12,23,35,17,57,0.43,11,31,0,2,1,2,1,1,119,10.1,16.1,49.0
Mathieu Joseph,OTT,OTT,L,R,72,11,24,35,-4,51,0.49,10,33,0,0,1,2,0,3,124,8.9,16.47,33.3
Nino Niederreiter,WPG,WPG,L,R,77,18,16,34,12,34,0.44,15,30,3,4,0,0,0,3,170,10.6,14.97,45.6
Dmitri Voronkov,CBJ,CBJ,L,L,75,18,16,34,-6,52,0.45,12,26,6,8,0,0,0,2,142,12.7,13.45,42.2
Artturi Lehkonen,COL,COL,L,L,45,16,18,34,11,14,0.76,9,22,7,12,0,0,1,2,103,15.5,18.47,27.3
Alex Newhook,MTL,MTL,L,C,55,15,19,34,-11,18,0.62,13,26,2,8,0,0,0,2,85,17.7,16.93,46.5
Connor Zary,CGY,CGY,L,C,63,14,20,34,12,22,0.54,13,30,1,4,0,0,0,3,90,15.6,15.27,44.0
Dawson Mercer,NJD,NJD,R,C,82,20,13,33,-26,29,0.4,16,28,4,5,0,0,0,2,134,14.9,17.22,44.9
Tyson Foerster,PHI,PHI,R,R,77,20,13,33,0,32,0.43,15,24,4,8,1,1,0,2,167,12.0,17.27,33.3
Connor McMichael,WSH,WSH,L,C,80,18,15,33,-20,34,0.41,15,25,2,6,1,2,0,3,135,13.3,15.98,42.4
Drew O'Connor,PIT,PIT,L,L,79,16,17,33,14,20,0.42,15,31,0,0,1,2,0,2,160,10.0,15.75,46.7
Andrew Copp,DET,DET,L,C,79,13,20,33,-2,26,0.42,11,27,1,3,1,3,0,3,109,11.9,16.27,53.6
Michael Rasmussen,DET,DET,L,C,75,13,20,33,8,47,0.44,12,29,0,0,1,4,0,3,101,12.9,15.18,48.3
Jean-Gabriel Pageau,NYI,NYI,R,C,82,11,22,33,-8,13,0.4,9,25,1,2,1,6,1,2,101,10.9,15.92,55.4
Yanni Gourde,SEA,SEA,L,C,80,11,22,33,-11,62,0.41,9,28,0,2,2,3,0,1,156,7.1,17.45,47.8
Brandon Montour,FLA,FLA,R,D,66,8,25,33,1,46,0.5,7,16,1,17,0,0,0,3,168,4.8,23.45,0.0
Darren Raddysh,TBL,TBL,R,D,82,6,27,33,-3,21,0.4,5,26,1,7,0,0,1,2,101,5.9,19.1,0.0
Owen Power,BUF,BUF,L,D,76,6,27,33,8,28,0.43,6,26,0,6,0,1,0,1,108,5.6,22.92,0.0
Neal Pionk,WPG,WPG,R,D,82,5,28,33,9,63,0.4,4,25,1,8,0,0,0,1,146,3.4,20.83,0.0
Alex Pietrangelo,VGK,VGK,R,D,64,4,29,33,-5,24,0.52,4,23,0,9,0,1,1,2,141,2.8,23.57,0.0
Robby Fabbri,DET,DET,L,C,68,18,14,32,-13,32,0.47,13,20,5,12,0,0,0,3,97,18.6,12.87,58.3
Dakota Joshua,VAN,VAN,L,C,63,18,14,32,19,60,0.51,17,31,1,1,0,0,0,5,84,21.4,14.38,47.2
Jason Zucker,ARI,NSH,L,L,69,14,18,32,-9,81,0.46,9,22,5,10,0,0,0,0,150,9.3,13.82,39.4
Jordan Martinook,CAR,CAR,L,L,82,14,18,32,-1,36,0.39,13,31,0,0,1,1,0,1,148,9.5,14.65,50.5
Cole Sillinger,CBJ,CBJ,L,C,77,13,19,32,-4,46,0.42,12,30,1,1,0,1,0,1,157,8.3,16.12,46.3
Darnell Nurse,EDM,EDM,L,D,81,10,22,32,3,79,0.4,8,26,1,5,1,1,1,2,181,5.5,21.9,0.0
Oliver Ekman-Larsson,FLA,FLA,L,D,80,9,23,32,10,76,0.4,8,21,1,11,0,0,1,3,123,7.3,18.4,0.0
Ivan Provorov,CBJ,CBJ,L,D,82,5,27,32,-11,20,0.39,5,25,0,7,0,0,0,0,107,4.7,22.17,0.0
Ryan McDonagh,NSH,NSH,L,D,74,3,29,32,19,31,0.43,3,28,0,4,0,0,1,1,91,3.3,21.78,0.0
Tyler Johnson,CHI,CHI,R,C,67,17,14,31,-35,26,0.46,9,15,8,16,0,0,0,1,112,15.2,15.53,44.4
Brendan Gallagher,MTL,MTL,R,R,77,16,15,31,-24,74,0.4,15,27,1,4,0,0,0,2,154,10.4,13.78,41.2
Lars Eller,PIT,PIT,L,C,82,15,16,31,-1,32,0.38,10,24,4,5,1,2,0,0,154,9.7,15.97,52.3
Ondrej Palat,NJD,NJD,L,L,71,11,20,31,-9,37,0.44,10,26,1,5,0,0,0,0,108,10.2,15.65,23.5
Ilya Mikheyev,VAN,VAN,L,R,78,11,20,31,1,4,0.4,11,31,0,0,0,0,0,1,147,7.5,14.27,27.6
Jack Roslovic,CBJ,NYR,R,C,59,9,22,31,-10,16,0.53,8,26,0,4,1,1,1,3,117,7.7,15.55,42.9
Seth Jones,CHI,CHI,R,D,67,8,23,31,-15,34,0.46,5,22,3,9,0,0,2,4,172,4.7,25.48,0.0
Erik Gustafsson,NYR,NYR,L,D,76,6,25,31,3,35,0.41,6,22,0,9,0,0,0,1,93,6.5,17.4,0.0
Dylan DeMelo,WPG,WPG,R,D,82,3,28,31,46,36,0.38,3,30,0,1,0,0,0,0,83,3.6,21.73,0.0
Josh Norris,OTT,OTT,L,C,50,16,14,30,-6,22,0.6,11,17,5,12,0,1,0,3,115,13.9,17.63,52.2
Jaden Schwartz,SEA,SEA,L,C,62,13,17,30,-15,24,0.48,6,20,7,10,0,0,0,0,117,11.1,16.37,57.1
Ryan Donato,CHI,CHI,L,C,78,12,18,30,-14,26,0.38,11,27,1,3,0,0,0,0,149,8.1,14.0,44.1
Alexandre Texier,CBJ,CBJ,L,C,78,12,18,30,-5,38,0.38,10,26,0,2,2,2,0,1,109,11.0,15.18,31.6
Ryan McLeod,EDM,EDM,L,C,81,12,18,30,10,10,0.37,12,27,0,1,0,2,0,3,106,11.3,14.25,50.8
Marcus Johansson,MIN,MIN,L,L,78,11,19,30,-15,22,0.38,10,24,1,6,0,0,0,0,112,9.8,15.88,18.8
Zach Benson,BUF,BUF,L,L,71,11,19,30,-3,36,0.42,11,28,0,2,0,0,0,1,98,11.2,14.52,29.4
Jordan Staal,CAR,CAR,L,C,80,10,20,30,-14,44,0.38,9,25,0,1,1,4,0,3,123,8.1,15.38,58.1
Alexander Wennberg,SEA,NYR,L,C,79,10,20,30,0,14,0.38,6,23,3,6,1,1,0,4,90,11.1,17.98,46.5
Cam York,PHI,PHI,L,D,82,10,20,30,-13,44,0.37,10,22,0,6,0,2,0,1,134,7.5,22.62,0.0
Thomas Chabot,OTT,OTT,L,D,51,9,21,30,-3,22,0.59,8,23,1,7,0,0,0,0,118,7.6,23.05,0.0
K'Andre Miller,NYR,NYR,L,D,80,8,22,30,5,49,0.38,8,28,0,1,0,1,1,3,96,8.3,21.57,0.0
Marcus Pettersson,PIT,PIT,L,D,82,4,26,30,28,44,0.37,4,30,0,0,0,0,1,1,106,3.8,22.67,0.0
Justin Faulk,STL,STL,R,D,60,2,28,30,-2,39,0.5,1,22,1,7,0,1,0,1,132,1.5,21.97,0.0
Michael Carcone,ARI,ARI,L,L,74,21,8,29,-2,35,0.39,19,26,1,2,1,1,0,4,111,18.9,11.27,30.8
Yegor Chinakhov,CBJ,CBJ,L,R,53,16,13,29,-3,6,0.55,15,27,1,2,0,0,0,3,110,14.6,15.17,7.1
Pius Suter,VAN,VAN,L,C,67,14,15,29,17,16,0.43,12,24,2,5,0,0,0,3,105,13.3,15.5,49.3
Kevin Hayes,STL,STL,L,R,79,13,16,29,0,12,0.37,13,24,0,5,0,0,0,2,153,8.5,14.47,57.0
Leo Carlsson,ANA,ANA,L,C,55,12,17,29,-11,16,0.53,8,20,4,9,0,0,0,0,109,11.0,18.12,34.8
Bowen Byram,COL,BUF,L,D,73,11,18,29,0,53,0.4,11,28,0,1,0,0,0,0,84,13.1,20.35,0.0
Sean Walker,PHI,COL,R,D,81,10,19,29,11,50,0.36,8,25,0,1,2,3,0,1,150,6.7,19.23,0.0
Aliaksei Protas,WSH,WSH,L,C,78,6,23,29,-3,8,0.37,6,28,0,0,0,1,0,1,113,5.3,13.75,40.4
Tyler Myers,VAN,VAN,R,D,77,5,24,29,16,77,0.38,3,27,0,0,2,2,0,0,93,5.4,18.95,0.0
Alexander Holtz,NJD,NJD,R,R,82,16,12,28,-15,14,0.34,15,26,1,2,0,0,0,3,122,13.1,11.63,29.6
Cam Atkinson,PHI,PHI,R,R,70,13,15,28,-22,27,0.4,11,22,2,6,0,0,0,3,175,7.4,15.95,48.0
Joe Veleno,DET,DET,L,C,80,12,16,28,-16,25,0.35,9,22,3,5,0,1,0,1,86,14.0,13.95,49.0
Ryan Poehling,PHI,PHI,L,C,77,11,17,28,-11,6,0.36,7,22,1,2,3,4,0,1,111,9.9,15.0,49.2
Pierre Engvall,NYI,NYI,L,L,74,10,18,28,4,18,0.38,8,21,2,7,0,0,0,1,128,7.8,15.33,46.3
Jordan Greenway,BUF,BUF,L,L,67,10,18,28,11,64,0.42,9,24,1,3,0,1,0,1,107,9.4,17.25,29.8
Trevor Moore,LAK,LAK,L,L,82,31,26,57,11,28,0.7,27,48,2,7,2,2,0,5,244,12.7,17.98,29.2
Alexis Lafrenière,NYR,NYR,L,L,82,28,29,57,2,40,0.7,26,51,2,6,0,0,1,5,217,12.9,17.27,25.8
Casey Mittelstadt,BUF,COL,L,C,80,18,39,57,10,32,0.71,15,48,3,9,0,0,0,1,127,14.2,17.73,47.1
Matias Maccelli,ARI,ARI,L,L,82,17,40,57,-4,8,0.7,15,44,2,12,0,1,1,2,149,11.4,16.23,37.5
Zach Werenski,CBJ,CBJ,L,D,70,11,46,57,0,22,0.81,9,45,2,12,0,0,0,0,202,5.5,24.45,0.0
Tage Thompson,BUF,BUF,R,C,71,29,27,56,-1,43,0.79,18,38,9,16,2,2,0,3,246,11.8,18.12,43.3
Bryan Rust,PIT,PIT,R,R,62,28,28,56,10,20,0.9,24,46,3,9,1,1,1,3,196,14.3,19.58,25.0
Jonathan Drouin,COL,COL,L,L,79,19,37,56,12,28,0.71,14,37,5,19,0,0,1,2,127,15.0,18.18,51.8
Erik Karlsson,PIT,PIT,R,D,82,11,45,56,4,44,0.68,9,39,2,17,0,0,2,4,213,5.2,24.27,0.0
Shayne Gostisbehere,DET,DET,L,D,81,10,46,56,-16,16,0.69,8,27,2,29,0,0,0,2,139,7.2,19.08,0.0
Tyler Toffoli,NJD,WPG,R,C,79,33,22,55,-6,14,0.7,22,37,11,18,0,0,1,4,229,14.4,16.97,38.0
Vladimir Tarasenko,OTT,FLA,L,R,76,23,32,55,13,12,0.72,20,46,3,9,0,0,0,5,155,14.8,15.73,57.1
Quinton Byfield,LAK,LAK,L,R,80,20,35,55,19,42,0.69,14,41,6,14,0,0,0,4,161,12.4,16.48,45.6
Michael Bunting,CAR,PIT,L,L,81,19,36,55,-19,57,0.68,12,34,7,21,0,0,0,3,168,11.3,15.68,30.4
Kyle Palmieri,NYI,NYI,R,C,82,30,24,54,-16,26,0.66,20,34,10,20,0,0,1,8,218,13.8,17.22,38.2
Blake Coleman,CGY,CGY,L,C,78,30,24,54,19,76,0.69,23,45,3,3,4,6,0,7,191,15.7,17.13,44.9
Troy Terry,ANA,ANA,R,R,76,20,34,54,-10,24,0.71,16,41,4,13,0,0,1,5,172,11.6,18.28,33.3
Philipp Kurashev,CHI,CHI,L,C,75,18,36,54,-44,23,0.72,12,35,6,19,0,0,1,3,128,14.1,19.02,46.4
Miro Heiskanen,DAL,DAL,L,D,71,9,45,54,8,36,0.76,7,33,2,21,0,0,0,2,162,5.6,24.53,0.0
Valeri Nichushkin,COL,COL,L,R,54,28,25,53,5,22,0.98,12,30,16,21,0,2,2,6,158,17.7,21.35,28.6
Owen Tippett,PHI,PHI,R,R,78,28,25,53,-5,12,0.68,23,45,5,8,0,0,1,4,289,9.7,16.58,42.2
Teuvo Teravainen,CAR,CAR,L,L,76,25,28,53,15,10,0.7,15,32,9,17,1,4,0,4,142,17.6,16.4,47.1
Martin Necas,CAR,CAR,R,C,77,24,29,53,-9,42,0.69,16,40,8,13,0,0,2,3,231,10.4,17.35,34.1
Mason Marchment,DAL,DAL,L,L,81,22,31,53,22,54,0.65,16,42,6,11,0,0,0,3,150,14.7,15.07,44.4
Mark Stone,VGK,VGK,R,R,56,16,37,53,1,22,0.95,10,35,4,14,2,4,1,5,117,13.7,19.4,0.0
Timo Meier,NJD,NJD,L,R,69,28,24,52,-28,45,0.75,18,35,10,17,0,0,1,4,207,13.5,17.6,48.9
Tyler Seguin,DAL,DAL,R,C,68,25,27,52,10,26,0.76,22,42,3,8,0,2,0,3,154,16.2,16.55,56.3
MacKenzie Weegar,CGY,CGY,R,D,82,20,32,52,2,51,0.63,17,35,3,15,0,2,1,2,208,9.6,22.93,0.0
Andrei Svechnikov,CAR,CAR,L,R,59,19,33,52,13,58,0.88,14,35,5,17,0,0,0,8,144,13.2,16.98,50.0
Jonathan Huberdeau,CGY,CGY,L,C,81,12,40,52,-29,49,0.64,8,33,4,19,0,0,0,2,143,8.4,17.42,48.4
John Carlson,WSH,WSH,R,D,82,10,42,52,-7,40,0.63,4,31,6,21,0,0,0,5,176,5.7,25.9,0.0
Adam Henrique,ANA,EDM,L,C,82,24,27,51,9,37,0.62,17,36,5,10,2,5,0,4,140,17.1,16.85,53.3
Chandler Stephenson,VGK,VGK,L,C,75,16,35,51,-9,25,0.68,10,35,4,13,2,3,0,4,97,16.5,18.48,52.6
Kris Letang,PIT,PIT,R,D,82,10,41,51,13,62,0.62,10,45,0,5,0,1,0,2,164,6.1,24.68,0.0
JJ Peterka,BUF,BUF,L,R,82,28,22,50,10,28,0.61,25,43,3,7,0,0,0,5,226,12.4,16.4,20.0
Joel Farabee,PHI,PHI,L,L,82,22,28,50,-13,37,0.61,20,43,2,7,0,0,1,2,182,12.1,16.18,37.5
Juraj Slafkovsky,MTL,MTL,L,L,82,20,30,50,-19,55,0.61,14,36,6,14,0,0,0,2,152,13.2,17.93,50.0
Drew Doughty,LAK,LAK,R,D,82,15,35,50,15,44,0.61,8,30,7,20,0,0,1,3,135,11.1,25.8,0.0
Devon Toews,COL,COL,L,D,82,12,38,50,28,18,0.61,12,43,0,5,0,2,0,2,159,7.6,23.43,0.0
J.T. Compher,DET,DET,R,L,77,19,29,48,-5,34,0.62,12,36,5,10,2,2,0,0,108,17.6,19.38,44.8
Filip Hronek,VAN,VAN,R,D,81,5,43,48,33,38,0.59,3,37,2,11,0,0,0,0,148,3.4,23.43,0.0
Patrick Kane,DET,DET,L,R,50,20,27,47,-5,16,0.94,18,32,2,15,0,0,3,7,147,13.6,18.38,0.0
Conor Garland,VAN,VAN,R,R,82,20,27,47,19,35,0.57,19,42,1,5,0,0,0,3,200,10.0,14.53,20.0
Dylan Cozens,BUF,BUF,R,C,79,18,29,47,-4,42,0.59,13,34,2,10,3,3,1,1,200,9.0,17.23,45.6
David Perron,DET,DET,R,L,76,17,30,47,-12,55,0.62,10,30,7,17,0,0,0,4,151,11.3,15.63,47.1
Phillip Danault,LAK,LAK,L,C,78,17,30,47,12,18,0.6,14,36,3,9,0,2,0,2,159,10.7,18.02,51.9
Thomas Harley,DAL,DAL,L,D,79,15,32,47,28,18,0.59,13,37,1,9,1,1,3,3,144,10.4,21.02,0.0
Brady Skjei,CAR,CAR,L,D,80,13,34,47,15,40,0.59,11,31,1,12,1,4,0,2,185,7.0,21.28,0.0
Noah Hanifin,CGY,VGK,L,D,80,13,34,47,19,24,0.59,8,32,5,13,0,2,0,2,164,7.9,23.62,0.0
Charlie McAvoy,BOS,BOS,R,D,74,12,35,47,4,86,0.64,11,34,1,13,0,0,2,3,133,9.0,24.85,0.0
Max Domi,TOR,TOR,L,C,80,9,38,47,10,118,0.59,8,45,1,2,0,0,0,1,137,6.6,13.78,50.0
Luke Hughes,NJD,NJD,L,D,82,9,38,47,-25,28,0.57,5,22,4,25,0,0,1,1,135,6.7,21.47,0.0
Brock Faber,MIN,MIN,R,D,82,8,39,47,-1,26,0.57,5,31,3,16,0,0,0,1,136,5.9,24.97,0.0
Jeff Skinner,BUF,BUF,L,L,74,24,22,46,-2,34,0.62,16,34,8,12,0,0,1,3,211,11.4,16.0,41.9
Nicholas Paul,TBL,TBL,L,L,82,24,22,46,-16,27,0.56,15,32,9,14,0,0,0,2,153,15.7,17.27,54.3
Andrei Kuzmenko,VAN,CGY,R,L,72,22,24,46,-9,12,0.64,14,27,8,19,0,0,1,4,121,18.2,14.88,100.0
Brayden Schenn,STL,STL,L,C,82,20,26,46,-22,56,0.56,15,33,4,12,1,1,2,3,170,11.8,17.78,49.4
Vince Dunn,SEA,SEA,L,D,59,11,35,46,8,78,0.78,7,29,4,16,0,1,0,0,120,9.2,23.08,0.0
Nick Bjugstad,ARI,ARI,R,C,76,22,23,45,11,59,0.59,19,38,2,6,1,1,1,2,165,13.3,17.45,49.2
Ryan Hartman,MIN,MIN,R,R,74,21,24,45,4,72,0.61,16,35,5,10,0,0,0,3,173,12.1,16.52,47.0
Anthony Cirelli,TBL,TBL,L,C,79,20,25,45,2,38,0.57,15,36,3,7,2,2,1,3,129,15.5,18.52,49.2
Ivan Barbashev,VGK,VGK,L,C,82,19,26,45,15,42,0.55,16,40,3,5,0,0,0,3,122,15.6,16.12,42.5
Tommy Novak,NSH,NSH,L,C,71,18,27,45,-3,8,0.63,12,33,6,12,0,0,0,1,113,15.9,14.2,42.2
William Eklund,SJS,SJS,L,L,80,16,29,45,-45,30,0.56,8,28,8,16,0,1,2,5,128,12.5,18.67,31.3
Alex Kerfoot,ARI,ARI,L,C,82,13,32,45,-15,26,0.55,9,30,2,12,2,3,0,3,103,12.6,17.43,47.8
Mattias Ekholm,EDM,EDM,L,D,79,11,34,45,44,47,0.57,8,41,2,3,1,1,0,3,177,6.2,21.05,0.0
Evander Kane,EDM,EDM,L,L,77,24,20,44,-4,85,0.57,21,36,2,7,1,1,1,3,220,10.9,16.78,48.0
Fabian Zetterlund,SJS,SJS,R,L,82,24,20,44,-34,33,0.54,17,27,6,16,1,1,0,0,204,11.8,18.85,32.9
Anthony Mantha,WSH,VGK,L,R,74,23,21,44,11,25,0.59,20,36,3,8,0,0,0,0,113,20.4,14.22,27.3
Logan Cooley,ARI,ARI,L,C,82,20,24,44,-13,18,0.54,16,30,3,13,1,1,1,2,151,13.3,15.82,38.0
Jordan Eberle,SEA,SEA,R,R,78,17,27,44,1,17,0.56,11,32,6,12,0,0,1,3,168,10.1,17.45,42.5
Elias Lindholm,CGY,VAN,R,C,75,15,29,44,-14,25,0.59,8,29,6,12,1,3,0,4,173,8.7,19.7,56.4
Travis Sanheim,PHI,PHI,L,D,81,10,34,44,-20,48,0.54,9,35,0,5,1,4,0,3,146,6.9,23.8,0.0
Tyler Bertuzzi,TOR,TOR,L,L,80,21,22,43,2,53,0.54,16,37,5,6,0,0,0,2,160,13.1,16.05,30.8
