Player,Team_start,Team_end,Shoots,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI_min,FOW%
Daniel Sprong,DET,DET,R,R,76,18,25,43,-5,22,0.57,15,31,3,12,0,0,0,1,160,11.3,12.0,66.7
Brent Burns,CAR,CAR,R,D,82,10,33,43,19,20,0.52,5,22,4,20,1,1,0,0,185,5.4,21.5,0.0
Brandon Saad,STL,STL,L,L,82,26,16,42,-4,20,0.51,21,37,5,5,0,0,2,7,144,18.1,15.5,42.9
Anthony Duclair,SJS,TBL,L,L,73,24,18,42,-8,34,0.58,19,30,5,12,0,0,0,1,129,18.6,15.77,37.0
Lawson Crouse,ARI,ARI,L,L,81,23,19,42,-7,36,0.52,16,31,7,10,0,1,0,2,171,13.5,16.82,31.1
Kirill Marchenko,CBJ,CBJ,R,R,78,23,19,42,-5,14,0.54,14,29,9,13,0,0,0,1,193,11.9,16.42,32.9
Mason McTavish,ANA,ANA,L,C,64,19,23,42,-23,86,0.66,14,32,4,8,1,2,1,3,130,14.6,16.28,51.7
Moritz Seider,DET,DET,R,D,82,9,33,42,-7,51,0.51,6,24,3,17,0,1,0,0,135,6.7,22.37,0.0
Shea Theodore,VGK,VGK,L,D,47,5,37,42,4,6,0.89,3,27,2,15,0,0,0,1,105,4.8,22.08,0.0
Sam Bennett,FLA,FLA,L,C,69,20,21,41,17,100,0.59,15,29,5,12,0,0,0,2,171,11.7,16.62,45.5
Warren Foegele,EDM,EDM,L,L,82,20,21,41,3,47,0.5,18,38,1,1,1,2,0,2,201,10.0,13.98,45.5
Eeli Tolvanen,SEA,SEA,L,R,81,16,25,41,-15,24,0.51,15,31,1,10,0,0,0,3,153,10.5,15.65,34.3
Jakob Chychrun,OTT,OTT,L,D,82,14,27,41,-30,60,0.5,7,25,7,16,0,0,0,2,204,6.9,22.38,0.0
Nicolas Roy,VGK,VGK,R,C,70,13,28,41,8,29,0.59,11,33,1,7,1,1,0,2,112,11.6,15.45,46.8
Morgan Frost,PHI,PHI,L,C,71,13,28,41,4,22,0.58,10,30,3,11,0,0,0,1,135,9.6,15.83,49.5
Ryan Strome,ANA,ANA,R,C,79,11,30,41,-20,86,0.52,9,26,2,15,0,0,0,0,131,8.4,15.8,46.1
Sean Durzi,ARI,ARI,R,D,76,9,32,41,-1,63,0.54,6,25,3,16,0,0,0,1,142,6.3,22.72,0.0
Marco Rossi,MIN,MIN,L,C,82,21,19,40,-4,47,0.49,19,34,2,6,0,0,1,2,167,12.6,16.73,44.7
Jake DeBrusk,BOS,BOS,L,L,80,19,21,40,4,18,0.5,15,28,2,10,2,2,1,3,183,10.4,16.83,30.4
Trent Frederic,BOS,BOS,L,C,82,18,22,40,9,69,0.49,16,38,2,2,0,0,0,1,123,14.6,13.75,45.4
Ross Colton,COL,COL,L,C,80,17,23,40,-8,61,0.5,14,35,3,5,0,0,0,2,146,11.6,13.72,51.6
Pierre-Luc Dubois,LAK,LAK,L,C,82,16,24,40,-9,70,0.49,9,32,7,8,0,0,0,4,146,11.0,15.7,49.7
Andrew Mangiapane,CGY,CGY,L,L,75,14,26,40,7,47,0.53,11,36,2,3,1,1,0,0,122,11.5,16.0,50.0
Reilly Smith,PIT,PIT,L,R,76,13,27,40,3,18,0.53,12,32,1,8,0,0,0,3,152,8.6,16.13,26.3
Morgan Geekie,BOS,BOS,R,C,76,17,22,39,6,28,0.51,13,27,4,12,0,0,0,1,130,13.1,15.42,44.1
Luke Evangelista,NSH,NSH,R,R,80,16,23,39,0,18,0.49,13,29,3,10,0,0,0,1,172,9.3,13.95,25.0
Alexandre Carrier,NSH,NSH,R,D,73,4,16,20,7,44,0.27,3,18,0,1,1,1,0,2,77,5.2,18.8,0.0
Henri Jokiharju,BUF,BUF,R,D,74,3,17,20,14,24,0.27,3,19,0,0,0,1,1,1,84,3.6,18.98,0.0
Erik Brannstrom,OTT,OTT,L,D,76,3,17,20,5,36,0.26,3,19,0,0,0,1,0,0,77,3.9,16.58,0.0
Dmitry Kulikov,FLA,FLA,L,D,76,1,19,20,15,63,0.26,1,18,0,0,0,2,0,0,74,1.4,16.52,0.0
Kaapo Kakko,NYR,NYR,L,R,61,13,6,19,6,24,0.31,12,18,1,1,0,0,0,2,91,14.3,13.28,56.5
Connor Dewar,MIN,TOR,L,C,74,11,8,19,-8,28,0.26,10,18,0,0,1,1,0,0,77,14.3,11.65,46.8
Michael McLeod,NJD,NJD,R,C,45,10,9,19,6,10,0.42,10,19,0,0,0,0,0,2,73,13.7,15.15,65.0
Jack Quinn,BUF,BUF,R,R,27,9,10,19,-1,8,0.7,8,16,1,3,0,0,0,2,56,16.1,15.63,33.3
Brett Howden,VGK,VGK,L,C,72,8,11,19,-11,39,0.26,6,17,0,0,2,2,0,0,76,10.5,13.23,45.1
David Kampf,TOR,TOR,L,C,78,8,11,19,-4,18,0.24,8,19,0,0,0,0,0,1,79,10.1,13.48,50.9
Cal Clutterbuck,NYI,NYI,R,R,82,7,12,19,4,32,0.23,7,19,0,0,0,0,0,0,59,11.9,11.88,37.1
Jakob Silfverberg,ANA,ANA,R,R,81,7,12,19,4,24,0.23,5,13,1,4,1,2,0,1,102,6.9,13.05,34.0
Radek Faksa,DAL,DAL,L,C,74,7,12,19,0,20,0.26,5,15,0,0,2,4,0,2,71,9.9,12.52,54.4
Andrew Cogliano,COL,COL,L,C,75,6,13,19,11,16,0.25,5,15,0,0,1,4,0,0,61,9.8,10.62,33.1
Jesper Fast,CAR,CAR,R,R,73,6,13,19,0,16,0.26,6,19,0,0,0,0,0,0,79,7.6,12.6,43.8
Jonny Brodzinski,NYR,NYR,R,C,57,6,13,19,-3,8,0.33,5,17,1,2,0,0,0,2,89,6.7,11.13,50.2
Ryan Pulock,NYI,NYI,R,D,58,5,14,19,3,12,0.33,3,13,2,6,0,0,0,1,90,5.6,22.55,0.0
Christian Fischer,DET,DET,R,R,79,5,14,19,0,36,0.24,4,18,0,0,1,1,0,0,86,5.8,11.4,40.4
Jan Rutta,SJS,SJS,R,D,69,5,14,19,-21,38,0.28,5,17,0,0,0,2,0,1,69,7.3,19.72,0.0
Braden Schneider,NYR,NYR,R,D,82,5,14,19,-1,16,0.23,4,18,0,0,1,1,0,1,95,5.3,15.9,0.0
Simon Nemec,NJD,NJD,R,D,60,3,16,19,-7,33,0.32,3,17,0,2,0,0,0,1,73,4.1,19.87,0.0
Chris Tanev,CGY,DAL,R,D,75,2,17,19,22,24,0.25,2,19,0,0,0,0,0,0,56,3.6,19.68,0.0
Mikhail Sergachev,TBL,TBL,L,D,34,2,17,19,-16,16,0.56,2,12,0,7,0,0,0,0,53,3.8,22.55,0.0
Nils Lundkvist,DAL,DAL,R,D,59,2,17,19,13,16,0.32,2,17,0,2,0,0,0,0,73,2.7,14.1,0.0
Luke Kunin,SJS,SJS,R,C,77,11,7,18,-30,83,0.23,9,13,2,5,0,0,0,1,98,11.2,15.73,45.6
Morgan Barron,WPG,WPG,L,C,80,11,7,18,10,23,0.23,11,17,0,1,0,0,0,3,94,11.7,10.5,46.3
Sean Kuraly,CBJ,CBJ,L,C,62,9,9,18,-5,40,0.29,9,17,0,0,0,1,0,0,92,9.8,13.73,48.1
Keegan Kolesar,VGK,VGK,R,R,79,8,10,18,-8,49,0.23,7,16,0,0,1,2,0,2,73,11.0,10.87,40.0
Parker Kelly,OTT,OTT,L,L,80,8,10,18,-8,30,0.23,6,15,0,0,2,3,0,0,86,9.3,11.7,23.9
Radko Gudas,ANA,ANA,R,D,66,6,12,18,14,128,0.27,6,17,0,0,0,1,0,0,88,6.8,19.5,0.0
Noah Cates,PHI,PHI,L,L,59,6,12,18,-8,0,0.31,6,16,0,0,0,2,0,1,78,7.7,13.8,44.6
Adam Larsson,SEA,SEA,R,D,81,4,14,18,6,55,0.22,4,17,0,0,0,1,0,1,130,3.1,22.95,0.0
Olli Maatta,DET,DET,L,D,72,4,14,18,14,14,0.25,4,18,0,0,0,0,0,0,48,8.3,16.05,0.0
Connor Clifton,BUF,BUF,R,D,79,4,14,18,12,88,0.23,4,18,0,0,0,0,0,1,77,5.2,16.55,0.0
Aaron Ekblad,FLA,FLA,R,D,51,4,14,18,27,50,0.35,3,14,1,4,0,0,0,1,98,4.1,20.87,0.0
Samuel Girard,COL,COL,L,D,59,3,15,18,0,10,0.31,3,17,0,1,0,0,0,0,73,4.1,19.38,0.0
Mikey Anderson,LAK,LAK,L,D,74,2,16,18,22,18,0.24,2,17,0,0,0,1,0,0,89,2.3,20.63,0.0
Dylan Samberg,WPG,WPG,L,D,78,1,17,18,16,43,0.23,1,16,0,1,0,1,0,0,77,1.3,15.63,0.0
Yakov Trenin,NSH,COL,L,C,76,12,5,17,15,40,0.22,12,16,0,0,0,1,0,3,116,10.3,14.57,45.0
Garnet Hathaway,PHI,PHI,R,R,82,7,10,17,-7,132,0.21,6,14,0,0,1,3,0,1,103,6.8,12.48,66.7
Pontus Holmberg,TOR,TOR,L,R,54,7,10,17,11,18,0.31,7,17,0,0,0,0,0,1,54,13.0,11.57,46.3
Anthony Beauvillier,VAN,NSH,L,L,60,5,12,17,-8,8,0.28,3,13,2,4,0,0,0,0,105,4.8,13.58,51.3
Joey Anderson,CHI,CHI,R,R,55,5,12,17,5,8,0.31,5,17,0,0,0,0,0,0,57,8.8,13.55,0.0
Alec Martinez,VGK,VGK,L,D,55,4,13,17,-2,6,0.31,4,14,0,3,0,0,0,0,72,5.6,19.05,0.0
Peyton Krebs,BUF,BUF,L,C,80,4,13,17,2,67,0.21,4,17,0,0,0,0,0,2,74,5.4,12.5,46.3
Niko Mikkola,FLA,FLA,L,D,82,3,14,17,11,69,0.21,3,16,0,0,0,1,0,0,93,3.2,20.03,0.0
Ryan Lindgren,NYR,NYR,L,D,76,3,14,17,22,36,0.22,3,17,0,0,0,0,0,1,73,4.1,19.35,0.0
Ryan Suter,DAL,DAL,L,D,82,2,15,17,14,28,0.21,2,16,0,0,0,1,0,1,102,2.0,18.93,0.0
Juuso Valimaki,ARI,ARI,L,D,68,2,15,17,12,12,0.25,2,13,0,4,0,0,0,0,69,2.9,19.1,0.0
Jackson LaCombe,ANA,ANA,L,D,71,2,15,17,-24,24,0.24,2,14,0,2,0,1,0,1,55,3.6,19.38,0.0
Calen Addison,MIN,SJS,R,D,72,1,16,17,-38,72,0.24,1,8,0,9,0,0,0,0,93,1.1,17.27,0.0
Scott Perunovich,STL,STL,L,D,54,0,17,17,1,12,0.31,0,11,0,6,0,0,0,0,36,0.0,15.27,0.0
Sam Carrick,ANA,EDM,R,C,77,10,6,16,-11,102,0.21,7,13,1,1,2,2,0,0,92,10.9,12.22,53.4
Trevor Lewis,LAK,LAK,R,C,82,8,8,16,7,20,0.2,7,13,0,1,1,2,0,2,130,6.2,11.63,42.6
Kailer Yamamoto,SEA,SEA,R,R,59,8,8,16,-9,18,0.27,6,10,2,6,0,0,0,2,61,13.1,11.98,35.5
Emil Bemstrom,CBJ,PIT,R,C,56,8,8,16,-5,12,0.29,4,11,4,5,0,0,0,1,83,9.6,11.13,37.5
Andre Burakovsky,SEA,SEA,L,L,49,7,9,16,-15,14,0.33,2,7,5,9,0,0,0,1,92,7.6,14.57,50.0
Brandon Tanev,SEA,SEA,L,L,66,7,9,16,2,51,0.24,7,14,0,0,0,2,0,0,73,9.6,14.58,30.0
Brian Dumoulin,SEA,SEA,L,D,80,6,10,16,3,20,0.2,6,16,0,0,0,0,0,1,69,8.7,17.02,0.0
Nicolas Aube-Kubel,WSH,WSH,R,R,60,6,10,16,4,23,0.27,6,16,0,0,0,0,0,0,58,10.3,12.2,33.3
Kent Johnson,CBJ,CBJ,L,C,42,6,10,16,-2,10,0.38,6,16,0,0,0,0,1,1,62,9.7,13.55,40.0
Dougie Hamilton,NJD,NJD,R,D,20,5,11,16,-8,20,0.8,1,8,4,8,0,0,0,0,61,8.2,20.98,0.0
Lukas Reichel,CHI,CHI,L,L,65,5,11,16,-29,12,0.25,3,14,2,2,0,0,0,0,84,6.0,14.12,43.4
Pat Maroon,MIN,BOS,L,L,51,4,12,16,-11,60,0.31,4,15,0,1,0,0,0,0,56,7.1,12.85,37.5
Jack Johnson,COL,COL,L,D,80,3,13,16,15,38,0.2,3,16,0,0,0,0,0,0,76,4.0,14.93,0.0
Brett Kulak,EDM,EDM,L,D,82,3,13,16,0,30,0.2,3,15,0,1,0,0,0,1,94,3.2,15.38,0.0
Martin Fehervary,WSH,WSH,L,D,66,3,13,16,-7,24,0.24,3,15,0,0,0,1,0,0,61,4.9,19.63,0.0
Alex Vlasic,CHI,CHI,L,D,76,2,14,16,-4,45,0.21,2,14,0,2,0,0,0,1,71,2.8,21.48,0.0
Adam Pelech,NYI,NYI,L,D,58,1,15,16,-2,27,0.28,1,15,0,0,0,1,1,1,71,1.4,20.28,0.0
Jeff Carter,PIT,PIT,R,C,72,11,4,15,-7,12,0.21,5,9,4,4,2,2,0,4,90,12.2,12.57,62.5
Dominik Kubalik,OTT,OTT,L,L,74,11,4,15,-30,19,0.2,7,11,4,4,0,0,0,2,91,12.1,12.12,40.5
Kevin Stenlund,FLA,FLA,R,C,81,11,4,15,-10,62,0.19,9,13,0,0,2,2,0,3,81,13.6,12.6,51.4
Alex Nylander,PIT,CBJ,R,L,28,11,4,15,-1,6,0.54,9,13,2,2,0,0,0,2,72,15.3,16.25,47.4
Nick Cousins,FLA,FLA,L,C,69,7,8,15,1,64,0.22,7,15,0,0,0,0,0,3,111,6.3,12.18,53.1
Mark Jankowski,NSH,NSH,L,C,32,7,8,15,11,8,0.47,6,13,0,1,1,1,0,1,48,14.6,12.67,50.3
Victor Olofsson,BUF,BUF,L,L,51,7,8,15,-1,4,0.29,6,12,1,3,0,0,0,1,66,10.6,11.57,0.0
Blake Lizotte,LAK,LAK,L,C,62,7,8,15,11,20,0.24,5,12,0,0,2,3,0,2,76,9.2,11.82,46.9
Arthur Kaliyev,LAK,LAK,L,R,51,7,8,15,-3,14,0.29,4,11,3,4,0,0,0,0,101,6.9,11.8,0.0
Viktor Arvidsson,LAK,LAK,R,R,18,6,9,15,4,14,0.83,5,10,1,5,0,0,0,1,59,10.2,16.7,33.3
Trevor Zegras,ANA,ANA,L,C,31,6,9,15,-1,30,0.48,5,14,1,1,0,0,0,1,73,8.2,17.08,38.4
Brendan Smith,NJD,NJD,L,D,63,5,10,15,-3,61,0.24,5,15,0,0,0,0,0,0,60,8.3,16.1,0.0
Frederick Gaudreau,MIN,MIN,R,C,67,5,10,15,-23,12,0.22,3,8,2,7,0,0,0,1,105,4.8,13.95,49.9
Max Jones,ANA,ANA,L,L,52,5,10,15,-6,33,0.29,5,14,0,1,0,0,0,0,76,6.6,12.05,31.3
Kevin Korchinski,CHI,CHI,L,D,76,5,10,15,-39,20,0.2,5,8,0,7,0,0,1,2,93,5.4,19.62,0.0
Matthew Poitras,BOS,BOS,R,C,33,5,10,15,4,6,0.45,5,14,0,1,0,0,0,1,40,12.5,13.4,43.7
Conor Sheary,TBL,TBL,L,L,57,4,11,15,-3,12,0.26,4,15,0,0,0,0,0,0,50,8.0,11.1,36.4
Jamie Oleksiak,SEA,SEA,L,D,82,2,13,15,-2,37,0.18,2,13,0,0,0,2,0,0,108,1.9,19.65,0.0
Tyson Barrie,NSH,NSH,R,D,41,1,14,15,-10,16,0.37,1,9,0,6,0,0,0,0,65,1.5,18.32,0.0
Zemgus Girgensons,BUF,BUF,L,L,63,8,6,14,-1,21,0.22,8,14,0,0,0,0,0,3,73,11.0,11.85,47.7
Klim Kostin,DET,SJS,L,C,52,8,6,14,-12,53,0.27,8,13,0,1,0,0,0,0,43,18.6,10.92,40.0
Tanner Jeannot,TBL,TBL,L,L,55,7,7,14,-10,75,0.25,6,12,1,2,0,0,0,0,59,11.9,12.02,35.9
Jeremy Lauzon,NSH,NSH,L,D,79,6,8,14,-3,98,0.18,6,14,0,0,0,0,0,0,103,5.8,18.62,0.0
Jesper Boqvist,BOS,BOS,L,C,47,6,8,14,12,8,0.3,6,14,0,0,0,0,1,1,51,11.8,11.15,35.7
Logan Stankoven,DAL,DAL,R,C,24,6,8,14,10,4,0.58,5,12,1,2,0,0,0,0,51,11.8,14.67,64.7
Liam O'Brien,ARI,ARI,L,C,75,5,9,14,0,153,0.19,5,14,0,0,0,0,0,0,72,6.9,9.73,21.4
Justin Bailey,SJS,SJS,R,R,59,5,9,14,-15,6,0.24,5,13,0,1,0,0,0,0,70,7.1,11.28,35.3
Taylor Raddysh,CHI,CHI,R,R,73,5,9,14,-19,22,0.19,3,10,1,3,1,1,0,0,120,4.2,15.88,33.3
Hudson Fasching,NYI,NYI,R,R,45,4,10,14,-7,6,0.31,4,14,0,0,0,0,0,1,41,9.8,12.05,50.0
Brandon Carlo,BOS,BOS,R,D,76,4,10,14,23,42,0.18,4,14,0,0,0,0,0,1,79,5.1,19.9,0.0
Jacob Bernard-Docker,OTT,OTT,R,D,72,4,10,14,-7,25,0.19,4,13,0,0,0,1,0,0,51,7.8,15.7,0.0
Patrick Brown,BOS,BOS,R,C,11,0,1,1,-3,2,0.09,0,1,0,0,0,0,0,0,7,0.0,8.83,45.5
Mark Friedman,VAN,VAN,R,D,23,0,1,1,4,21,0.04,0,1,0,0,0,0,0,0,16,0.0,12.23,0.0
Austin Czarnik,DET,DET,R,C,34,0,1,1,-3,12,0.03,0,1,0,0,0,0,0,0,24,0.0,8.43,49.0
Max Lajoie,TOR,TOR,L,D,7,0,1,1,1,0,0.14,0,0,0,1,0,0,0,0,1,0.0,12.72,0.0
Lucas Johansen,WSH,WSH,L,D,6,0,1,1,1,4,0.17,0,1,0,0,0,0,0,0,4,0.0,14.27,0.0
Kale Clague,BUF,BUF,L,D,3,0,1,1,0,2,0.33,0,1,0,0,0,0,0,0,2,0.0,12.27,0.0
William Lockwood,FLA,FLA,R,R,26,0,1,1,2,16,0.04,0,1,0,0,0,0,0,0,19,0.0,8.2,50.0
Hardy Haman Aktell,WSH,WSH,L,D,6,0,1,1,-2,2,0.17,0,1,0,0,0,0,0,0,5,0.0,10.63,0.0
Cal Foote,NJD,NJD,R,D,4,0,1,1,3,16,0.25,0,1,0,0,0,0,0,0,0,0.0,14.77,0.0
Maxime Comtois,CAR,CAR,L,L,1,0,1,1,0,0,1.0,0,1,0,0,0,0,0,0,1,0.0,13.07,0.0
Calle Rosen,STL,STL,L,D,6,0,1,1,-1,2,0.17,0,1,0,0,0,0,0,0,5,0.0,12.67,0.0
Rasmus Kupari,WPG,WPG,R,C,28,0,1,1,-5,4,0.04,0,1,0,0,0,0,0,0,28,0.0,9.13,46.7
Jan Jenik,ARI,ARI,L,R,5,0,1,1,-1,5,0.2,0,1,0,0,0,0,0,0,2,0.0,8.38,46.7
Ruslan Iskhakov,NYI,NYI,L,C,1,0,1,1,0,0,1.0,0,0,0,1,0,0,0,0,2,0.0,14.18,0.0
Jack St. Ivany,PIT,PIT,R,D,14,0,1,1,0,2,0.07,0,1,0,0,0,0,0,0,11,0.0,13.7,0.0
Aku Raty,ARI,ARI,R,R,1,0,1,1,0,0,1.0,0,1,0,0,0,0,0,0,0,0.0,11.75,0.0
Nikolai Knyzhov,SJS,SJS,L,D,10,0,1,1,-6,6,0.1,0,1,0,0,0,0,0,0,6,0.0,17.65,0.0
Daemon Hunt,MIN,MIN,L,D,12,0,1,1,-1,0,0.08,0,1,0,0,0,0,0,0,7,0.0,11.5,0.0
Tyler Kleven,OTT,OTT,L,D,9,0,1,1,-1,2,0.11,0,1,0,0,0,0,0,0,7,0.0,12.65,0.0
Lukas Cormier,VGK,VGK,L,D,2,0,1,1,1,0,0.5,0,0,0,1,0,0,0,0,3,0.0,17.28,0.0
Roby Jarventie,OTT,OTT,L,L,7,0,1,1,-5,4,0.14,0,1,0,0,0,0,0,0,5,0.0,7.52,31.4
Shakir Mukhamadullin,SJS,SJS,L,D,3,0,1,1,0,4,0.33,0,0,0,1,0,0,0,0,5,0.0,21.15,0.0
Logan Mailloux,MTL,MTL,R,D,1,0,1,1,1,0,1.0,0,1,0,0,0,0,0,0,2,0.0,21.23,0.0
Cutter Gauthier,ANA,ANA,L,L,1,0,1,1,1,0,1.0,0,1,0,0,0,0,0,0,3,0.0,15.4,0.0
Brad Lambert,WPG,WPG,R,C,1,0,1,1,1,0,1.0,0,1,0,0,0,0,0,0,2,0.0,13.85,42.9
Milos Kelemen,ARI,ARI,L,L,10,0,1,1,-2,0,0.1,0,1,0,0,0,0,0,0,5,0.0,7.68,25.0
Riley Nash,NYR,NYR,R,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,11.08,50.0
Robert Bortuzzo,STL,NYI,R,D,27,0,0,0,0,27,0.0,0,0,0,0,0,0,0,0,11,0.0,13.73,0.0
Alexander Petrovic,DAL,DAL,R,D,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,2,0.0,12.87,0.0
Max McCormick,SEA,SEA,L,L,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,5.63,0.0
Derrick Pouliot,DAL,DAL,L,D,5,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,5,0.0,12.13,0.0
Jujhar Khaira,MIN,MIN,L,L,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,8.08,0.0
Jayson Megna,BOS,BOS,R,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,11.75,0.0
Scott Sabourin,SJS,SJS,R,R,3,0,0,0,0,9,0.0,0,0,0,0,0,0,0,0,3,0.0,9.28,0.0
Anton Blidh,NYR,NYR,L,L,1,0,0,0,-1,2,0.0,0,0,0,0,0,0,0,0,1,0.0,5.35,0.0
John Hayden,SEA,SEA,R,C,2,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,1,0.0,6.73,50.0
Robert Hagg,ANA,ANA,L,D,5,0,0,0,-4,4,0.0,0,0,0,0,0,0,0,0,6,0.0,12.78,0.0
Gustav Olofsson,SEA,SEA,L,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,14.95,0.0
Justin Kirkland,ARI,ARI,L,C,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,7.23,66.7
Oskar Lindblom,SJS,SJS,L,L,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,11.93,0.0
Bokondji Imama,OTT,OTT,L,L,6,0,0,0,1,7,0.0,0,0,0,0,0,0,0,0,1,0.0,5.58,0.0
Colin White,PIT,MTL,R,C,28,0,0,0,-5,4,0.0,0,0,0,0,0,0,0,0,16,0.0,9.52,38.4
Glenn Gawdin,ANA,ANA,R,C,1,0,0,0,-1,2,0.0,0,0,0,0,0,0,0,0,0,0.0,7.58,40.0
Adam Gaudette,STL,STL,R,C,2,0,0,0,0,4,0.0,0,0,0,0,0,0,0,0,0,0.0,9.8,0.0
Brett Seney,CHI,CHI,L,L,4,0,0,0,0,6,0.0,0,0,0,0,0,0,0,0,1,0.0,10.35,33.3
Samuel Laberge,NJD,NJD,L,L,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,3.1,0.0
Philippe Myers,TBL,TBL,R,D,5,0,0,0,-2,2,0.0,0,0,0,0,0,0,0,0,6,0.0,11.7,0.0
Andrew Poturalski,SEA,SEA,R,C,2,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,6.88,100.0
Victor Mete,PHI,PHI,L,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,10.87,0.0
Brett Murray,BUF,BUF,L,L,2,0,0,0,-1,2,0.0,0,0,0,0,0,0,0,0,1,0.0,7.97,100.0
Rem Pitlick,CHI,CHI,L,C,9,0,0,0,-7,2,0.0,0,0,0,0,0,0,0,0,13,0.0,15.58,50.0
Joona Koppanen,PIT,PIT,L,L,4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,4,0.0,7.82,20.0
Rhett Gardner,PHI,PHI,L,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,7.47,100.0
Dylan Coghlan,CAR,CAR,R,D,1,0,0,0,-2,0,0.0,0,0,0,0,0,0,0,0,3,0.0,17.98,0.0
Zach Aston-Reese,DET,DET,L,C,3,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,1,0.0,5.15,0.0
Cale Fleury,SEA,SEA,R,D,1,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,1,0.0,13.5,0.0
Kole Lind,SEA,SEA,R,R,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,5.98,0.0
Jake Leschyshyn,NYR,NYR,L,C,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,6.47,0.0
Shane Bowers,NJD,NJD,L,C,8,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,7,0.0,9.45,31.8
Cameron Crotty,ARI,ARI,R,D,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,10.05,0.0
Jacob Peterson,SJS,SJS,L,C,6,0,0,0,-3,2,0.0,0,0,0,0,0,0,0,0,3,0.0,13.25,31.3
Marián Studenic,SEA,SEA,L,R,2,0,0,0,-1,2,0.0,0,0,0,0,0,0,0,0,1,0.0,8.12,0.0
