Player,Team_start,Team_end,Shoots,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI_min,FOW%
Sammy Walker,MIN,MIN,R,C,4,0,0,0,-3,0,0.0,0,0,0,0,0,0,0,0,3,0.0,9.37,0.0
Philip Kemp,EDM,EDM,R,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2.05,0.0
Grant Hutton,NYI,NYI,R,D,2,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,8.77,0.0
Grigori Denisenko,VGK,VGK,R,L,6,0,0,0,-3,2,0.0,0,0,0,0,0,0,0,0,5,0.0,10.85,0.0
Linus Karlsson,VAN,VAN,R,C,4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,4,0.0,10.15,22.2
Hugh McGing,STL,STL,L,L,5,0,0,0,-5,0,0.0,0,0,0,0,0,0,0,0,4,0.0,8.38,14.3
Joe Snively,WSH,WSH,L,C,3,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,8.35,0.0
Raphael Lavoie,EDM,EDM,R,C,7,0,0,0,-2,2,0.0,0,0,0,0,0,0,0,0,4,0.0,7.28,0.0
Graeme Clarke,NJD,NJD,R,R,3,0,0,0,-2,2,0.0,0,0,0,0,0,0,0,0,2,0.0,11.38,0.0
Egor Afanasyev,NSH,NSH,L,L,2,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,5,0.0,13.0,0.0
Sam Poulin,PIT,PIT,L,R,3,0,0,0,-1,2,0.0,0,0,0,0,0,0,0,0,2,0.0,7.78,41.7
Victor Soderstrom,ARI,ARI,R,D,3,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,1,0.0,15.18,0.0
Tobias Bjornfot,LAK,FLA,L,D,4,0,0,0,-2,2,0.0,0,0,0,0,0,0,0,0,1,0.0,13.82,0.0
Cole Schwindt,CGY,CGY,R,R,4,0,0,0,-1,2,0.0,0,0,0,0,0,0,0,0,1,0.0,6.8,75.0
Maxence Guenette,OTT,OTT,R,D,7,0,0,0,-1,2,0.0,0,0,0,0,0,0,0,0,6,0.0,13.78,0.0
Tyler Angle,CBJ,CBJ,L,C,2,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,8.33,33.3
Connor Mackey,NYR,NYR,L,D,1,0,0,0,1,5,0.0,0,0,0,0,0,0,0,0,1,0.0,16.45,0.0
Justin Sourdif,FLA,FLA,R,R,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,2,0.0,8.83,0.0
Emil Andrae,PHI,PHI,L,D,4,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,13.0,0.0
Jack Thompson,TBL,SJS,R,D,3,0,0,0,-2,0,0.0,0,0,0,0,0,0,0,0,4,0.0,15.67,0.0
Mavrik Bourque,DAL,DAL,R,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,2,0.0,10.93,33.3
Yan Kuznetsov,CGY,CGY,L,D,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,2,0.0,11.97,0.0
Adam Raska,MIN,MIN,R,R,5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,6.82,0.0
Gage Goncalves,TBL,TBL,L,C,2,0,0,0,0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,9.97,0.0
Callahan Burke,CAR,CAR,R,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,7.1,0.0
Emil Heineman,MTL,MTL,L,L,4,0,0,0,2,0,0.0,0,0,0,0,0,0,0,0,0,0.0,9.95,0.0
Alex Steeves,TOR,TOR,L,C,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,1,0.0,10.23,0.0
Scott Morrow,CAR,CAR,R,D,2,0,0,0,-3,0,0.0,0,0,0,0,0,0,0,0,6,0.0,18.38,0.0
Oskar Olausson,COL,COL,L,R,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,2,0.0,11.83,0.0
Mackie Samoskevich,FLA,FLA,R,R,7,0,0,0,-3,0,0.0,0,0,0,0,0,0,0,0,11,0.0,12.03,0.0
Brennan Othmann,NYR,NYR,L,L,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,6,0.0,9.08,0.0
Ryan Winterton,SEA,SEA,R,C,9,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,10,0.0,9.33,0.0
Isak Rosen,BUF,BUF,L,R,7,0,0,0,-3,0,0.0,0,0,0,0,0,0,0,0,8,0.0,8.58,16.7
Zach Dean,STL,STL,L,C,9,0,0,0,-4,6,0.0,0,0,0,0,0,0,0,0,10,0.0,10.55,50.0
Ethan Del Mastro,CHI,CHI,L,D,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,18.58,0.0
Jackson Blake,CAR,CAR,R,R,1,0,0,0,-2,0,0.0,0,0,0,0,0,0,0,0,2,0.0,15.3,0.0
Zack Ostapchuk,OTT,OTT,L,C,7,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,5,0.0,10.5,26.8
Vincent Iorio,WSH,WSH,R,D,6,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,6,0.0,9.83,0.0
Chad Ruhwedel,PIT,NYR,R,D,52,1,3,4,-6,4,0.08,1,4,0,0,0,0,0,0,35,2.9,12.7,0.0
Rasmus Ristolainen,PHI,PHI,R,D,31,1,3,4,-6,8,0.13,1,4,0,0,0,0,0,0,46,2.2,16.68,0.0
Ross Johnston,ANA,ANA,L,L,68,1,3,4,-12,117,0.06,1,4,0,0,0,0,0,0,44,2.3,8.2,50.0
Ethan Bear,WSH,WSH,R,D,24,1,3,4,-5,10,0.17,1,4,0,0,0,0,0,1,24,4.2,14.9,0.0
Givani Smith,SJS,SJS,L,R,36,1,3,4,-13,40,0.11,1,4,0,0,0,0,0,0,31,3.2,7.82,40.0
Jaret Anderson-Dolan,LAK,NSH,L,C,31,1,3,4,-5,6,0.13,0,3,0,0,1,1,0,0,31,3.2,11.05,41.7
Alex Turcotte,LAK,LAK,L,C,20,1,3,4,5,6,0.2,1,4,0,0,0,0,0,0,14,7.1,9.28,50.0
Vladislav Kolyachonok,ARI,ARI,L,D,5,1,3,4,5,2,0.8,1,4,0,0,0,0,0,0,5,20.0,12.47,0.0
Landon Slaggert,CHI,CHI,L,L,16,1,3,4,1,4,0.25,1,4,0,0,0,0,0,0,14,7.1,11.27,0.0
Marat Khusnutdinov,MIN,MIN,L,C,16,1,3,4,-3,6,0.25,0,3,1,1,0,0,0,0,6,16.7,13.12,47.6
Derek Forbort,BOS,BOS,L,D,35,0,4,4,8,17,0.11,0,4,0,0,0,0,0,0,22,0.0,17.8,0.0
William Lagesson,TOR,ANA,L,D,40,0,4,4,3,32,0.1,0,4,0,0,0,0,0,0,19,0.0,14.8,0.0
Jansen Harkins,PIT,PIT,L,C,45,0,4,4,-4,21,0.09,0,4,0,0,0,0,0,0,37,0.0,8.2,100.0
Kurtis MacDermid,COL,NJD,L,L,45,2,1,3,4,73,0.07,2,3,0,0,0,0,0,1,16,12.5,4.83,100.0
Rourke Chartier,OTT,OTT,L,C,37,2,1,3,-4,14,0.08,2,3,0,0,0,0,0,1,40,5.0,10.77,52.0
Mitchell Stephens,MTL,MTL,R,C,23,2,1,3,2,4,0.13,2,3,0,0,0,0,0,0,16,12.5,9.05,55.6
Zack MacEwen,OTT,OTT,R,R,30,2,1,3,-4,57,0.1,2,3,0,0,0,0,0,1,17,11.8,6.4,61.8
Trey Fix-Wolansky,CBJ,CBJ,R,R,11,2,1,3,0,2,0.27,2,3,0,0,0,0,0,0,17,11.8,10.98,0.0
James Hamblin,EDM,EDM,L,L,31,2,1,3,3,0,0.1,2,3,0,0,0,0,0,0,18,11.1,7.92,50.6
Sheldon Rempal,VGK,VGK,R,R,9,2,1,3,-2,4,0.33,1,2,1,1,0,0,0,0,16,12.5,9.97,0.0
Angus Crookshank,OTT,OTT,L,L,13,2,1,3,-3,4,0.23,2,3,0,0,0,0,0,1,20,10.0,10.12,0.0
Brock McGinn,ANA,ANA,L,L,24,1,2,3,-5,4,0.13,1,3,0,0,0,0,0,0,24,4.2,11.08,41.7
Vinnie Hinostroza,PIT,PIT,R,C,14,1,2,3,-3,4,0.21,1,3,0,0,0,0,0,0,27,3.7,9.75,40.0
Anthony Richard,BOS,BOS,L,C,9,1,2,3,0,2,0.33,1,3,0,0,0,0,0,0,6,16.7,10.6,0.0
Steven Lorentz,FLA,FLA,L,C,38,1,2,3,-9,10,0.08,1,3,0,0,0,0,0,1,30,3.3,8.78,48.9
Mason Shaw,MIN,MIN,L,C,20,1,2,3,0,34,0.15,1,3,0,0,0,0,0,0,21,4.8,8.18,87.5
Jonas Rondbjerg,VGK,VGK,L,R,20,1,2,3,2,0,0.15,1,3,0,0,0,0,0,0,25,4.0,11.28,0.0
Alexander Alexeyev,WSH,WSH,L,D,39,1,2,3,-8,6,0.08,1,3,0,0,0,0,0,0,20,5.0,13.7,0.0
Jakob Pelletier,CGY,CGY,L,L,13,1,2,3,1,2,0.23,1,3,0,0,0,0,0,1,9,11.1,9.27,50.0
Tristan Luneau,ANA,ANA,R,D,7,1,2,3,1,4,0.43,1,3,0,0,0,0,0,0,11,9.1,17.87,0.0
Ben Meyers,COL,ANA,L,C,23,1,2,3,-4,6,0.13,1,3,0,0,0,0,0,0,12,8.3,10.12,44.8
Uvis Balinskis,FLA,FLA,L,D,26,1,2,3,0,8,0.12,1,3,0,0,0,0,0,0,22,4.6,14.1,0.0
Liam Foudy,CBJ,NSH,L,C,13,0,3,3,-2,2,0.23,0,3,0,0,0,0,0,0,7,0.0,9.98,0.0
Marc Del Gaizo,NSH,NSH,L,D,9,0,3,3,2,2,0.33,0,3,0,0,0,0,0,0,8,0.0,16.47,0.0
Louis Crevier,CHI,CHI,R,D,24,0,3,3,-16,4,0.13,0,3,0,0,0,0,0,0,18,0.0,15.68,0.0
Ilya Solovyov,CGY,CGY,L,D,10,0,3,3,-3,4,0.3,0,2,0,0,0,1,0,0,10,0.0,15.9,0.0
Adam Edstrom,NYR,NYR,L,C,11,2,0,2,2,2,0.18,2,2,0,0,0,0,0,0,7,28.6,8.42,0.0
Brandon Biro,BUF,BUF,L,L,5,2,0,2,0,0,0.4,2,2,0,0,0,0,0,0,2,100.0,10.85,47.8
Chris Wagner,COL,COL,R,R,13,1,1,2,3,9,0.15,1,2,0,0,0,0,0,0,16,6.3,7.45,58.1
Adam Erne,EDM,EDM,L,L,24,1,1,2,0,9,0.08,1,2,0,0,0,0,0,0,13,7.7,7.82,44.4
Denis Gurianov,NSH,PHI,L,R,18,1,1,2,4,0,0.11,1,2,0,0,0,0,0,0,26,3.9,12.22,0.0
Riley Tufte,COL,COL,L,L,5,1,1,2,-2,2,0.4,1,2,0,0,0,0,0,1,7,14.3,11.12,50.0
Logan Stanley,WPG,WPG,L,D,25,1,1,2,4,36,0.08,1,2,0,0,0,0,0,0,29,3.5,13.77,0.0
Carson Meyer,CBJ,CBJ,R,R,14,1,1,2,-2,2,0.14,1,2,0,0,0,0,0,0,10,10.0,9.12,0.0
Tyler Tucker,STL,STL,L,D,26,1,1,2,1,42,0.08,1,2,0,0,0,0,0,0,17,5.9,12.45,0.0
Danil Gushchin,SJS,SJS,L,L,4,1,1,2,-2,0,0.5,1,2,0,0,0,0,0,0,4,25.0,14.68,0.0
Vasily Ponomarev,CAR,CAR,L,C,2,1,1,2,1,0,1.0,1,2,0,0,0,0,0,0,1,100.0,9.68,55.6
Matt Rempe,NYR,NYR,R,C,17,1,1,2,1,71,0.12,1,2,0,0,0,0,0,1,12,8.3,5.63,50.0
Simon Edvinsson,DET,DET,L,D,16,1,1,2,0,4,0.13,1,2,0,0,0,0,0,0,13,7.7,18.25,0.0
Liam Ohgren,MIN,MIN,L,L,4,1,1,2,0,0,0.5,1,2,0,0,0,0,0,1,8,12.5,14.52,0.0
Jiri Smejkal,OTT,OTT,L,L,20,1,1,2,-6,4,0.1,1,2,0,0,0,0,0,0,10,10.0,9.48,40.7
Milan Lucic,BOS,BOS,L,L,4,0,2,2,-1,2,0.5,0,2,0,0,0,0,0,0,1,0.0,11.97,0.0
Matt Benning,SJS,SJS,R,D,14,0,2,2,-5,14,0.14,0,2,0,0,0,0,0,0,13,0.0,18.48,0.0
Jaycob Megna,CHI,CHI,L,D,44,0,2,2,-15,22,0.05,0,2,0,0,0,0,0,0,28,0.0,17.52,0.0
Nic Petan,MIN,MIN,L,C,6,0,2,2,-2,2,0.33,0,1,0,1,0,0,0,0,11,0.0,10.83,40.0
Jordan Oesterle,CGY,CGY,L,D,22,0,2,2,-6,4,0.09,0,2,0,0,0,0,0,0,18,0.0,13.52,0.0
Matthew Highmore,OTT,OTT,L,C,7,0,2,2,0,0,0.29,0,2,0,0,0,0,0,0,1,0.0,7.72,50.0
Ian Mitchell,BOS,BOS,R,D,13,0,2,2,6,10,0.15,0,2,0,0,0,0,0,0,11,0.0,15.3,0.0
Bo Groulx,ANA,ANA,L,C,45,0,2,2,-9,22,0.04,0,2,0,0,0,0,0,0,32,0.0,12.18,44.0
Cole Koepke,TBL,TBL,L,L,9,0,2,2,0,0,0.22,0,2,0,0,0,0,0,0,9,0.0,6.7,0.0
Jake Christiansen,CBJ,CBJ,L,D,12,0,2,2,-5,2,0.17,0,2,0,0,0,0,0,0,7,0.0,13.22,0.0
Ronnie Attard,PHI,PHI,R,D,12,0,2,2,1,6,0.17,0,2,0,0,0,0,0,0,14,0.0,15.38,0.0
Kirby Dach,MTL,MTL,R,C,2,0,2,2,2,0,1.0,0,2,0,0,0,0,0,0,3,0.0,13.02,37.5
Nikita Alexandrov,STL,STL,L,C,23,0,2,2,-4,4,0.09,0,2,0,0,0,0,0,0,15,0.0,8.53,40.7
Adam Beckman,MIN,MIN,L,L,11,0,2,2,-2,12,0.18,0,2,0,0,0,0,0,0,10,0.0,9.4,0.0
Philip Broberg,EDM,EDM,L,D,12,0,2,2,-3,0,0.17,0,1,0,1,0,0,0,0,6,0.0,11.62,0.0
Vasily Podkolzin,VAN,VAN,L,R,19,0,2,2,-4,8,0.11,0,2,0,0,0,0,0,0,20,0.0,10.82,37.5
Santeri Hatakka,NJD,NJD,L,D,12,0,2,2,5,4,0.17,0,2,0,0,0,0,0,0,12,0.0,14.65,0.0
Maxwell Crozier,TBL,TBL,R,D,13,0,2,2,-2,7,0.15,0,2,0,0,0,0,0,0,13,0.0,12.93,0.0
Lukas Rousek,BUF,BUF,L,R,15,0,2,2,-1,0,0.13,0,2,0,0,0,0,0,0,4,0.0,10.63,100.0
Mikael Pyyhtia,CBJ,CBJ,L,L,17,0,2,2,-5,0,0.12,0,2,0,0,0,0,0,0,22,0.0,13.15,25.0
Lane Hutson,MTL,MTL,L,D,2,0,2,2,-2,0,1.0,0,2,0,0,0,0,0,0,3,0.0,22.72,0.0
Justin Dowling,NJD,NJD,L,C,2,1,0,1,-2,0,0.5,1,1,0,0,0,0,0,0,3,33.3,10.53,30.8
Ryan Shea,PIT,PIT,L,D,31,1,0,1,1,6,0.03,1,1,0,0,0,0,0,0,17,5.9,12.62,0.0
Brandon Gignac,MTL,MTL,L,C,7,1,0,1,-3,0,0.14,1,1,0,0,0,0,0,0,7,14.3,11.65,45.3
Jacob Moverare,LAK,LAK,L,D,24,1,0,1,0,6,0.04,1,1,0,0,0,0,0,0,11,9.1,10.45,0.0
Oskar Steen,BOS,BOS,R,C,34,1,0,1,-2,4,0.03,1,1,0,0,0,0,0,0,24,4.2,9.07,0.0
Jack Studnicka,VAN,SJS,R,C,22,1,0,1,-12,6,0.05,1,1,0,0,0,0,0,0,20,5.0,11.45,39.9
Jonathan Gruden,PIT,PIT,L,C,13,1,0,1,-2,5,0.08,1,1,0,0,0,0,0,0,9,11.1,8.67,33.3
Adam Ginning,PHI,PHI,L,D,9,1,0,1,0,0,0.11,1,1,0,0,0,0,0,0,6,16.7,14.15,0.0
John Leonard,ARI,ARI,L,L,6,1,0,1,-1,0,0.17,1,1,0,0,0,0,0,0,5,20.0,6.87,0.0
Samuel Fagemo,NSH,LAK,R,L,8,1,0,1,-1,0,0.13,0,0,1,1,0,0,0,0,13,7.7,9.18,0.0
Nolan Foote,NJD,NJD,L,L,4,1,0,1,-1,0,0.25,1,1,0,0,0,0,0,0,6,16.7,10.1,0.0
Nikita Nesterenko,ANA,ANA,L,C,3,1,0,1,0,0,0.33,1,1,0,0,0,0,0,0,7,14.3,11.52,0.0
Sam Colangelo,ANA,ANA,R,R,3,1,0,1,0,2,0.33,1,1,0,0,0,0,0,0,7,14.3,12.55,0.0
Jean-Luc Foudy,COL,COL,R,C,4,1,0,1,1,0,0.25,1,1,0,0,0,0,0,0,2,50.0,6.43,0.0
Nikita Chibrikov,WPG,WPG,L,R,1,1,0,1,0,0,1.0,1,1,0,0,0,0,0,1,3,33.3,11.05,0.0
Marc McLaughlin,BOS,BOS,R,C,1,1,0,1,1,0,1.0,1,1,0,0,0,0,0,0,2,50.0,12.65,25.0
Luca Del Bel Belluz,CBJ,CBJ,L,C,1,1,0,1,1,0,1.0,1,1,0,0,0,0,0,0,2,50.0,9.58,40.0
Frank Nazar,CHI,CHI,R,C,3,1,0,1,-4,0,0.33,1,1,0,0,0,0,0,0,2,50.0,16.15,31.8
Nick Blankenburg,CBJ,CBJ,R,D,12,1,0,1,1,4,0.08,1,1,0,0,0,0,0,0,10,10.0,16.22,0.0
Adam Klapka,CGY,CGY,R,R,6,1,0,1,-1,19,0.17,1,1,0,0,0,0,0,0,4,25.0,6.77,0.0
Jason Polin,COL,COL,R,R,7,1,0,1,1,2,0.14,1,1,0,0,0,0,0,0,6,16.7,7.42,50.0
Waltteri Merela,TBL,TBL,R,C,19,1,0,1,2,4,0.05,1,1,0,0,0,0,0,0,17,5.9,9.82,25.0
Nicklas Backstrom,WSH,WSH,L,C,8,0,1,1,-3,2,0.13,0,1,0,0,0,0,0,0,12,0.0,14.57,52.4
Logan Couture,SJS,SJS,L,C,6,0,1,1,0,4,0.17,0,1,0,0,0,0,0,0,7,0.0,18.75,47.9
Byron Froese,VGK,VGK,R,C,16,0,1,1,-2,4,0.06,0,1,0,0,0,0,0,0,17,0.0,10.67,55.7
Dylan McIlrath,WSH,WSH,R,D,3,0,1,1,1,5,0.33,0,1,0,0,0,0,0,0,1,0.0,10.3,0.0
Mackenzie MacEachern,STL,STL,L,L,8,0,1,1,-1,0,0.13,0,1,0,0,0,0,0,0,4,0.0,7.87,0.0
Damon Severson,CBJ,CBJ,R,D,67,9,19,28,-10,51,0.42,9,23,0,3,0,2,0,1,88,10.2,21.15,0.0
Jake McCabe,TOR,TOR,L,D,73,8,20,28,20,56,0.38,7,25,1,2,0,1,1,3,73,11.0,20.65,0.0
Jake Evans,MTL,MTL,R,C,82,7,21,28,-1,24,0.34,6,27,0,0,1,1,0,1,81,8.6,16.02,52.2
Teddy Blueger,VAN,VAN,L,C,68,6,22,28,4,31,0.41,4,24,0,0,2,4,0,0,97,6.2,14.93,53.1
Pavel Mintyukov,ANA,ANA,L,D,63,4,24,28,-20,24,0.44,4,20,0,7,0,1,0,0,88,4.6,18.85,0.0
Nick Leddy,STL,STL,L,D,82,3,25,28,14,14,0.34,2,25,0,1,1,2,0,0,82,3.7,22.37,0.0
Michael Amadio,VGK,VGK,R,R,73,14,13,27,4,16,0.37,11,22,3,5,0,0,0,2,117,12.0,13.4,51.5
Nicholas Robertson,TOR,TOR,L,L,56,14,13,27,4,4,0.48,13,24,1,3,0,0,0,1,96,14.6,11.38,27.3
Eetu Luostarinen,FLA,FLA,L,C,82,12,15,27,1,26,0.33,10,24,2,2,0,1,0,2,119,10.1,15.93,53.6
Jesperi Kotkaniemi,CAR,CAR,L,C,79,12,15,27,-4,36,0.34,11,24,1,2,0,1,0,0,128,9.4,12.98,51.6
Adam Fantilli,CBJ,CBJ,L,C,49,12,15,27,-21,16,0.55,11,24,1,3,0,0,0,1,115,10.4,15.72,43.6
Alex Iafallo,WPG,WPG,L,L,82,11,16,27,14,6,0.33,9,21,2,5,0,1,0,2,120,9.2,15.32,32.0
Kiefer Sherwood,NSH,NSH,R,L,68,10,17,27,17,41,0.4,10,27,0,0,0,0,0,2,110,9.1,12.17,48.4
Shane Pinto,OTT,OTT,R,C,41,9,18,27,9,14,0.66,5,21,4,6,0,0,1,1,110,8.2,18.12,50.6
Jack Drury,CAR,CAR,L,C,74,8,19,27,4,33,0.36,6,20,2,7,0,0,0,0,106,7.6,12.28,55.3
Jonas Brodin,MIN,MIN,L,D,62,7,20,27,22,16,0.44,7,26,0,1,0,0,0,1,117,6.0,23.37,0.0
Jimmy Vesey,NYR,NYR,L,L,80,13,13,26,-4,20,0.33,13,26,0,0,0,0,0,4,116,11.2,12.38,39.1
Ridly Greig,OTT,OTT,L,C,72,13,13,26,10,66,0.36,10,23,2,2,1,1,0,1,97,13.4,14.75,43.9
Colton Parayko,STL,STL,R,D,82,10,16,26,4,23,0.32,9,23,0,1,1,2,1,4,154,6.5,23.87,0.0
Justin Danforth,CBJ,CBJ,R,R,71,10,16,26,-10,26,0.37,10,26,0,0,0,0,0,1,86,11.6,14.27,48.5
Miles Wood,COL,COL,L,L,74,9,17,26,-5,75,0.35,8,25,0,0,1,1,0,1,167,5.4,13.68,31.7
Jack McBain,ARI,ARI,L,C,67,8,18,26,8,50,0.39,8,26,0,0,0,0,1,2,56,14.3,12.62,45.2
Justin Schultz,SEA,SEA,R,D,70,7,19,26,-23,22,0.37,7,16,0,10,0,0,1,2,100,7.0,16.47,0.0
Dmitry Orlov,CAR,CAR,L,D,82,6,20,26,4,36,0.32,5,20,0,5,1,1,0,1,129,4.7,17.32,0.0
Erik Gudbranson,CBJ,CBJ,R,D,78,6,20,26,-14,74,0.33,6,25,0,0,0,1,0,1,91,6.6,19.67,0.0
Esa Lindell,DAL,DAL,L,D,82,5,21,26,17,12,0.32,5,25,0,0,0,1,0,0,114,4.4,20.47,0.0
J.J. Moser,ARI,ARI,L,D,80,5,21,26,-5,35,0.33,5,21,0,3,0,2,0,0,77,6.5,20.57,0.0
Brayden McNabb,VGK,VGK,L,D,82,4,22,26,18,37,0.32,4,24,0,1,0,1,0,0,86,4.7,19.35,0.0
Hampus Lindholm,BOS,BOS,L,D,73,3,23,26,18,63,0.36,2,21,1,5,0,0,0,0,99,3.0,23.28,0.0
TJ Brodie,TOR,TOR,L,D,78,1,25,26,17,40,0.33,1,26,0,0,0,0,0,0,52,1.9,21.72,0.0
Joel Armia,MTL,MTL,R,R,66,17,8,25,4,34,0.38,15,23,0,0,2,2,0,3,139,12.2,15.55,31.3
Simon Holmstrom,NYI,NYI,L,R,75,15,10,25,2,14,0.33,10,18,0,0,5,7,0,3,72,20.8,13.32,31.6
Logan O'Connor,COL,COL,R,R,57,13,12,25,13,34,0.44,10,22,0,0,3,3,0,4,85,15.3,14.95,45.3
T.J. Oshie,WSH,WSH,R,R,52,12,13,25,-6,44,0.48,5,14,7,11,0,0,0,4,90,13.3,16.87,27.9
Michael Eyssimont,TBL,TBL,L,C,81,11,14,25,7,104,0.31,9,21,2,4,0,0,0,2,149,7.4,11.85,46.2
Josh Manson,COL,COL,R,D,76,8,17,25,11,87,0.33,7,23,0,0,1,2,0,0,123,6.5,17.78,0.0
Curtis Lazar,NJD,NJD,R,C,71,7,18,25,10,44,0.35,6,24,0,0,1,1,0,2,74,9.5,12.38,48.8
Jake Middleton,MIN,MIN,L,D,80,7,18,25,-15,77,0.31,7,24,0,0,0,1,0,1,85,8.2,19.82,0.0
Paul Cotter,VGK,VGK,L,C,76,7,18,25,-11,41,0.33,5,21,2,4,0,0,0,0,100,7.0,12.73,49.1
Cody Ceci,EDM,EDM,R,D,79,5,20,25,12,14,0.32,5,24,0,0,0,1,0,0,97,5.2,20.02,0.0
Matt Roy,LAK,LAK,R,D,81,5,20,25,21,42,0.31,5,22,0,1,0,2,0,1,135,3.7,20.9,0.0
Artem Zub,OTT,OTT,R,D,69,5,20,25,5,32,0.36,4,24,0,0,1,1,0,0,85,5.9,21.02,0.0
John Marino,NJD,NJD,R,D,75,4,21,25,-6,41,0.33,4,25,0,0,0,0,0,1,57,7.0,20.95,0.0
Will Borgen,SEA,SEA,R,D,82,3,22,25,-5,65,0.3,3,25,0,0,0,0,0,0,97,3.1,17.58,0.0
Bobby McMann,TOR,TOR,L,C,56,15,9,24,13,52,0.43,14,23,1,1,0,0,0,0,118,12.7,11.57,60.0
Sam Lafferty,VAN,VAN,R,C,79,13,11,24,4,32,0.3,12,23,0,0,1,1,0,3,78,16.7,11.88,42.1
Pavel Dorofeyev,VGK,VGK,L,L,47,13,11,24,8,12,0.51,13,23,0,1,0,0,0,1,97,13.4,13.28,50.0
Tomas Tatar,COL,SEA,L,L,70,9,15,24,8,20,0.34,9,23,0,1,0,0,0,2,72,12.5,12.45,25.0
Sam Steel,DAL,DAL,L,C,77,9,15,24,0,29,0.31,7,21,0,0,2,3,0,1,86,10.5,13.25,45.0
Evgeny Kuznetsov,WSH,CAR,L,C,63,8,16,24,-11,30,0.38,7,17,1,7,0,0,0,1,96,8.3,17.55,45.0
Martin Pospisil,CGY,CGY,L,C,63,8,16,24,14,109,0.38,8,24,0,0,0,0,0,1,117,6.8,12.72,45.1
Kevin Shattenkirk,BOS,BOS,R,D,61,6,18,24,-2,18,0.39,4,13,2,11,0,0,0,0,78,7.7,15.78,0.0
David Savard,MTL,MTL,R,D,60,6,18,24,-1,24,0.4,6,24,0,0,0,0,0,0,54,11.1,20.23,0.0
Mike Reilly,FLA,NYI,L,D,61,6,18,24,-1,30,0.39,5,18,0,5,1,1,0,1,126,4.8,17.15,0.0
Jeff Petry,DET,DET,R,D,73,3,21,24,-7,39,0.33,3,23,0,0,0,1,0,0,84,3.6,18.8,0.0
